Nom du site,Categorie,Adresse 1,Adresse 2,Code Postal,Ville,Numero de telephone,Email,Longitude,Latitude
Ecole Jean Fiolle,Ecoles elementaires,63 rue du Docteur Jean Fiolle,,13006,Marseille,04 91 37 78 02,ecole.jeanfiolle@cime.org,5.38026056400434,43.2837119731085
Ecole Lodi,Ecoles elementaires,127 rue de Lodi,,13006,Marseille,04 91 78 21 61,ecole.lodi@cime.org,5.38990688122398,43.2869883423459
Ecole Friedland,Ecoles elementaires,13 rue Friedland,,13006,Marseille,04 91 78 68 62,ecole.friedland@cime.org,5.38863872182648,43.2863684057616
Ecole Breteuil,Ecoles elementaires,113 rue Breteuil,,13006,Marseille,04 91 37 10 26,ecole.breteuil@cime.org,5.37719053889095,43.2872758349066
Ecole Candolle,Ecoles elementaires,9 rue Candolle,,13007,Marseille,04 91 52 44 79,ecole.candolle-roucas@cime.org,5.3658131053009,43.2878800675033
Ecole Roseraie,Ecoles elementaires,6 Rue Pierre Mouren,,13007,Marseille,04 91 52 12 16,ecole.roseraie@cime.org,5.3520224437119,43.2828550114657
Ecole Marius Thomas,Ecoles elementaires,21 Boulevard Marius Thomas,,13007,Marseille,04 91 52 03 08,ecole.mariusthomas@cime.org,5.36179888506269,43.2847417000457
Ecole Flotte,Ecoles elementaires,2 avenue Ferdinand Flotte,,13008,Marseille,04 91 77 27 59,ecole.flotte@cime.org,5.3804277014959,43.2753636998688
Ecole Amedee Autran,Ecoles elementaires,12 boulevard Amedee Autran,,13007,Marseille,04 91 52 05 93,ecole.amedeautran@cime.org,5.36604382904825,43.2822493626834
Ecole Bompard,Ecoles elementaires,131 boulevard Bompard,,13007,Marseille,04 91 52 63 89,ecole.bompard@cime.org,5.36063669917678,43.2796686705364
Ecole Chateaubriand,Ecoles elementaires,46 rue Chateaubriand,,13007,Marseille,04 91 52 08 07,ecole.chateaubriand@cime.org,5.35905291545724,43.2860911822119
Ecole La Valbarelle,Ecoles elementaires,2 rue Gimon,,13011,Marseille,04 91 44 83 23,ecole.valbarelle@cime.org,5.4568680961487,43.287087316172
