,#,Actions,Code RNE,Appellation,Secteur,Code Postal,Maternelle,Elementaire,Telephone,Web,Mail,Nombre d'élèves,Mode Constructif,Nb élèves par classe,Categorie ERP,Avis de la commission,Effectif Public (CSI),Effectif Personnel (CSI)
,001,"<span data-column-name=""view"" class=""operation-item"">",0130753Y,Ecole élémentaire d'application Montée des Accoules,Public,13002,,,0491906651,,ce.0130753Y@ac-aix-marseille.fr,134,Maison d’Ecole,9,4,DEFAVORABLE,180,16
,002,"<span data-column-name=""view"" class=""operation-item"">",0130630P,Ecole élémentaire d'application Saint Charles 1,Public,13003,,,0491502486,,ce.0130630P@ac-aix-marseille.fr,128,Eger ou rationalise 1950/1960,9,4,DEFAVORABLE,291,31
,003,"<span data-column-name=""view"" class=""operation-item"">",0130710B,Ecole élémentaire d'application Corderie,Public,13007,,,0491337060,,ce.0130710B@ac-aix-marseille.fr,183,Eger ou rationalise 1950/1960,14,3,FAVORABLE,587,59
,004,"<span data-column-name=""view"" class=""operation-item"">",0132183C,Ecole élémentaire Rose Frais Vallon Sud,Public,13013,,,0491661496,,ce.0132183C@ac-aix-marseille.fr,154,Autre industrialise & hors modèle,14,4,FAVORABLE,101,11
,005,"<span data-column-name=""view"" class=""operation-item"">",0130536M,Ecole élémentaire La Cabucelle,Public,13015,,,0491586415,,ce.0130536M@ac-aix-marseille.fr,275,Ferry jusqu’en 1936,16,NULL,NULL,NULL,NULL
,006,"<span data-column-name=""view"" class=""operation-item"">",0130551D,Ecole élémentaire Cité Michelis 1,Public,13011,,,0491447329,,ce.0130551D@ac-aix-marseille.fr,199,Eger ou rationalise 1950/1960,26,3,FAVORABLE,399,46
,007,"<span data-column-name=""view"" class=""operation-item"">",0130609S,Ecole élémentaire Pont de Vivaux Saccoman,Public,13010,,,0491796659,,ce.0130609S@ac-aix-marseille.fr,325,Eger ou rationalise 1950/1960,21,3,FAVORABLE,383,36
,008,"<span data-column-name=""view"" class=""operation-item"">",0130531G,Ecole élémentaire Boisson,Public,13004,,,0491347391,,ce.0130531G@ac-aix-marseille.fr,155,Ferry jusqu’en 1936,24,4,FAVORABLE,157,8
,009,"<span data-column-name=""view"" class=""operation-item"">",0130537N,Ecole élémentaire Caillols,Public,13012,,,0491932345,,ce.0130537N@ac-aix-marseille.fr,270,Eger ou rationalise 1950/1960,25,4,DEFAVORABLE,272,22
,010,"<span data-column-name=""view"" class=""operation-item"">",0130541T,Ecole élémentaire Canet Ambrosini,Public,13014,,,0491673653,,ce.0130541T@ac-aix-marseille.fr,223,Eger ou rationalise 1950/1960,17,3,FAVORABLE,389,25
,011,"<span data-column-name=""view"" class=""operation-item"">",0130548A,Ecole élémentaire Chateaubriand,Public,13007,,,0491520807,,ce.0130548A@ac-aix-marseille.fr,129,Front populaire 1936/1938,23,4,DEFAVORABLE,135,16
