Date;Fonctionnalité
19/02/2020;Auto-scroll de la page désactivé après avoir cliqué sur un lien d'un onglet
18/02/2020;Auto-scroll de la page désactivé après avoir cliqué sur un marqueur
18/02/2020;Bulle d'information connectée à la base de données
17/02/2020;Bulle d'information ajoutée
17/02/2020;Champs de la popup mis à jour
16/02/2020;Dimension Popup adaptée à la taille de la carte
15/02/2020;Icônes des marqueurs en fonction d'un paramètre
14/02/2021;Mise à jour de l'affichage cross-platform plus responsiv
13/02/2021;Connexion à la base de données écoles avec les onglets
13/02/2021;Adaptation onglets aux écoles
12/02/2021;Ajout du système d'onglets
11/02/2021;Connexion à la BD et fichier csv disponible
11/02/2021;Ajout du cross-platform avec Bootstrap
10/02/2021;Ajout de la première école sur une carte Leaflet
