"nomAttribuant","idAttribuant","typeAttribuant","anneeAttribution","nomBeneficiaire","typeBeneficiaire","montant","nature","objetAideNature"
"Ville de Marseille",21130055300016,"COM",2017,"100 POUR CENT GLISSE","Associations",1600.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"118 BIS ASTRONEF","Associations",5000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"13 A TIPIK","Associations",4500.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"2B2B","Associations",3000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"321","Associations",1647.10,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"A CHACUN SON SPORT","Associations",3000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"A LA MEMOIRE DE NOS ANCIENS DE GUYOTVILLE","Associations",2000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"A PETITS SONS","Associations",1000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AAAZ APPEL AR ZENITH","Associations",1926.45,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ACCES AU DROIT DES ENFANTS ET DES JEUNES","Associations",20000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCES CITOYEN A LA CULTURE A L EDUCATION ET AU SPORT","Associations",50000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCES CULTURE","Associations",5000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCOMPAGNEMENT A LA GESTION ORGANISATION ET DIAGNOSTIC STRATEGIQUE","Associations",2500.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCORDS EN SCENE","Associations",12000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCOULES SAX","Associations",1500.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACCUEIL DE JOUR","Associations",50000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACGD THEATRE MASSALIA","Associations",442000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACM ETS CHATEAU DE LA BUZINE","Associations",120520.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACSM","Associations",20000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTA VISTA","Associations",12908.44,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ACTA VISTA","Associations",546000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTION DE COORDINATION DE LIEUX ET D ACCUEIL AUX PERSONNES AGEES","Associations",43000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTION DE SOLIDARITE DE MARSEILLE","Associations",10000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTION MEDITERRANEENNE POUR L INSERTION SOCIALE PAR LE LOGEMENT","Associations",58383.89,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTIONS DE RECHERCHE TECHN CULTURELLE ET ARTISTIQUE DVPT ENVIRONNEMENT","Associations",30000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTIONS GLOBALES D ENSEIGNEMENT DE SOUTIEN CULTUREL ET ARTISTIQUE","Associations",8000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACTORAL","Associations",130000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ACUF 13 UNION COMB.UNION FRANÇAISE","Associations",1926.45,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ADCOMEAM","Associations",24280.28,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ADDAP 13","Associations",17926.25,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ADDICT ACTION 13 ADAC 13","Associations",2500.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ADDICTION MEDITERRANEE","Associations",12000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"ADIRP 13 DEPORTES","Associations",2009.54,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ADPEP","Associations",5837.87,"aide en numéraire ; aide en nature","MISE À DISPOSITION DE  LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"ADRIM ASSOCIATION POUR LE DEVELOPPEMENT DES RELATIONS INTERCOMMUNALES MEDITERRANEENNES","Associations",1575.92,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AFEV","Associations",9437.05,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AFNR CIQ FRIOUL","Associations",23058.89,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AFRISANTE","Associations",5000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE D URBANISME DE L AGGLOMERATION MARSEILLAISE","Associations",799999.98,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE D URBANISME DE L AGGLOMERATION MARSEILLAISE","Associations",0.00,"aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE LOCAUX ILE RATONNEAU 13007"
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE D URBANISME DE L AGGLOMERATION MARSEILLAISE","Associations",3000.00,"aide en numéraire ; aide en nature","MISE A DISPOSITION DU FOYER DE L OPERA AVEC SON PERSONNEL TECHNIQUE"
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE DE L ERREUR","Associations",5000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE DE VOYAGES IMAGINAIRES","Associations",97700.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE POUR LA COOPERATION INTERNATIONALE ET LE DEVELOPPEMENT LOCAL EN MEDITERRANEE","Associations",0.00,"aide en nature","MISE A DISPOSITION D UN VEHICULE ASSURANCE CARBURANT                        "
"Ville de Marseille",21130055300016,"COM",2017,"AGENCE POUR LA VALORISATION EN RELATION AVEC LES PROFESSIONNELS","Associations",8772.00,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE LOCAUX 93 LA CANEBIERE 13001"
"Ville de Marseille",21130055300016,"COM",2017,"AGIR POUR LE DEVELOPPEMENT D ACTIONS D INSERTION ADAI","Associations",13000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGONE EDITEUR","Associations",5000.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AGORA","Associations",32874.48,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AIDES FEDERATION NATIONALE DELEGATION DEPARTEMENTALE BDR","Associations",28600.00,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2017,"AIL DE ST LOUP","Associations",2989.50,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AIL MAZARGUES","Associations",3489.01,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AIL SAINTE ANNE","Associations",24901.76,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2017,"AJCM MARSEILLE SPORT ET CULTURE","Associations",2000.00,"aide en numéraire",
