"nomAttribuant","idAttribuant","typeAttribuant","anneeAttribution","nomBeneficiaire ","typeBeneficiaire ","montant","nature","objetAideNature"
"Ville de Marseille",21130055300016,"COM",2019,"13 A TIPIK","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"A CHACUN SON SPORT","Associations",8000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"A PETITS SONS","Associations",2000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"A VOIX HAUTE","Associations",2500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACADEMIE D’AIKIDO DU LITTORAL OCCITAN","Associations",667.8,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACADEMIE D’AIKIDO DU LITTORAL OCCITAN","Associations",3828.72,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACADEMIE D’AIKIDO DU LITTORAL OCCITAN","Associations",630,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACADEMIE DES SCIENCES LETTRES ET ARTS DE MARSEILLE","Associations",1400,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACCELERATEUR M","Associations",50000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACCES AU DROIT DES ENFANTS ET DES JEUNES","Associations",18000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACCES CULTURE","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACCOMPAGNEMENT A LA GESTION ORGANISATION ET DIAGNOSTIC STRATEGIQUE","Associations",5000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACCORDS EN SCENE","Associations",12000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACCUEIL DE JOUR","Associations",43000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACGD THEATRE MASSALIA","Associations",430000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACOMAR","Associations",6120.86,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACS","Associations",793.8,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ACSM","Associations",18000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTA VISTA","Associations",400000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTION BOMAYE D AUTRES PERSPECTIVES SONT REALISABLES ENSEMBLES","Associations",2000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTION DE COORDINATION DE LIEUX ET D ACCUEIL AUX PERSONNES AGEES","Associations",15000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTION DE SOLIDARITE DE MARSEILLE","Associations",10302.9,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTIONS GLOBALES D ENSEIGNEMENT DE SOUTIEN CULTUREL ET ARTISTIQUE","Associations",8000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACTORAL","Associations",143000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ACUF 13","Associations",2674.14,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ADC PGCATM","Associations",1594.86,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ADDICT ACTION 13 ADAC 13","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ADDICTION MEDITERRANEE","Associations",12000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ADIRP 13","Associations",1049.41,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
