NOM_COLLECTIVITE,ID_COLLECTIVITE,DELIB_DATE,DELIB_NUM,DELIB_OBJET,DIRECTION_EMETTRICE,DELEGATION_EMETTRICE
Marseille,21130055300016,2019-11-25,19/1305/ECSS,"Approbation des conventions de coproduction avec l'association ""Manifesta 13 Marseille"".",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300017,2019-11-25,19/1304/UAGP,"SERVICE DE L'ACTION FONCIÈRE - 6ème arrondissement - Vauban - 170, rue Breteuil - Cession à la Société Immobilière de la rue Breteuil d'une parcelle de terrain bâtie afin de permettre l'extension du groupe scolaire Notre Dame de France.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300018,2019-11-25,19/1303/UAGP,"SERVICE DE L'ACTION FONCIERE - 11ème arrondissement - La Pomme - Angle de la rue Angèle et de la rue des Myosotis - Principe de cession par la Ville de Marseille au Comité Catholique des Écoles d'une parcelle de terrain en vue de la relocalisation de l'établissement catholique d'enseignement, école et collège, Sainte Marie Blancarde.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300019,2019-11-25,19/1302/UAGP,"SERVICE DE L'ACTION FONCIERE - 2ème arrondissement ¿ Quartier Grands Carmes - Attribution d'un bail emphytéotique administratif au profit de la Mutualité Française Provence-Alpes-Côte d'Azur, au sein de l'immeuble dit « Maison de la Mutualité » situé à l'angle de la rue François Moisson et de la rue Jean Trinquet.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300020,2019-11-25,19/1301/ECSS,"SERVICE ACCUEIL LOISIRS JEUNES - Subventions à des associations animant des Accueils de Loisirs Sans Hébergement, des Accueils de Jeunes, des Ludothèques - Acomptes 2020.",DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300021,2019-11-25,19/1300/ECSS,OPERA - Approbation de l'accord relatif à l'exercice des droits de propriété littéraire et artistique des musiciens de l'Orchestre Philharmonique de l'Opéra de Marseille.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300022,2019-11-25,19/1299/ECSS,"Mise en conformité et rénovation du fronton du Théâtre National de Marseille La Criée, 29, quai de Rive Neuve - 7ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS SUD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300023,2019-11-25,19/1298/ECSS,"Approbation d'attribution de subventions de fonctionnement et d'aide à l'action, année 2019, aux associations culturelles - 5ème répartition - Approbation de la convention conclue entre la Ville de Marseille et l'association ""Le Parvis des Arts"".",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300024,2019-11-25,19/1297/ECSS,"Approbation de l'avenant n°3 à la convention pluriannuelle d'objectifs et de moyens avec mandatement SIEG n°2019-80085 conclue avec l'association ""la Cité de la Musique de Marseille"".",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300025,2019-11-25,19/1296/ECSS,Approbation d'un premier versement aux associations culturelles au titre des subventions 2020 - Approbation des conventions et avenants aux conventions conclues entre la Ville de Marseille et diverses associations.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300026,2019-11-25,19/1295/ECSS,Approbation d'un premier versement au titre des subventions 2020 aux associations et organismes culturels - Approbation des conventions de financement conclues entre la Ville de Marseille et diverses associations ou organismes - Approbation des avenants aux conventions conclues entre la Ville de Marseille et diverses associations ou organismes.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300027,2019-11-25,19/1294/ECSS,"Lancement d'une consultation pour une mission d'assistance concernant le suivi de la démarche qualité ""Certi'Crèche"" AFNOR de la direction de la Petite Enfance de la Ville de Marseille (Services centraux et Etablissements Municipaux d'Accueil de Jeunes Enfants). ",DIRECTION DE LA PETITE ENFANCE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300028,2019-11-25,19/1293/ECSS,Subventions à des associations oeuvrant dans le domaine de la petite enfance - Adoption des nouvellles conventions de fonctionnement - Paiement aux associations des acomptes sur subvention à valoir sur les crédits de l'exercice 2020.,DIRECTION DE LA PETITE ENFANCE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300029,2019-11-25,19/1292/ECSS,Modification du règlement de fonctionnement des établissements municipaux d'accueil du jeune enfant.,DIRECTION DE LA PETITE ENFANCE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
