Nom du site;Categorie;Adresse 1;Adresse 2;Code Postal;Ville;Numero de telephone;Email;Longitude;Latitude
Ecole Bergers;Ecoles maternelles;11 rue Perrin Solliers;;13006;Marseille;04 91 47 63 62;ecole.mat.bergers@cime.org;5.38485384024201;43.2909458085538
Ecole Bernard Cadenat;Ecoles maternelles;rue Jobin;;13003;Marseille;04 91 95 14 52;ecole.mat.jobin@cime.org;5.38789161494576;43.3119096730038
Ecole Fiolle-Breteuil;Ecoles maternelles;80 rue du Docteur Jean Fiolle;;13006;Marseille;04 91 37 58 29;ecole.mat.jeanfiolle@cime.org;5.37858770889968;43.2841501416265
Ecole Vauban;Ecoles maternelles;122 boulevard Vauban;;13006;Marseille;04 91 37 20 48;ecole.mat.vauban@cime.org;5.37336404861362;43.2822143330172
Ecole Marius Thomas;Ecoles maternelles;21 BOULEVARD MARIUS THOMAS;;13007;Marseille;04 91 52 03 08;ecole.mariusthomas@cime.org;5.36179888506269;43.2847417000457
Ecole Delphes;Ecoles maternelles;6 avenue de Delphes;;13006;Marseille;04 91 78 46 14;ecole.mat.delphes@cime.org;5.38716195169933;43.2849533497675
Ecole Bompard;Ecoles maternelles;131 boulevard Bompard;;13007;Marseille;04 91 52 63 89;ecole.bompard@cime.org;5.36063669917678;43.2796686705364
Ecole Paul Codaccioni;Ecoles maternelles;22 rue Paul Codaccioni;;13007;Marseille;04 91 52 54 61;ecole.mat.codaccioni@cime.org;5.36109717347789;43.2881505090711
Ecole Flotte;Ecoles maternelles;2 avenue Ferdinand Flotte;;13008;Marseille;04 91 76 19 66;ecole.mat.flotte@cime.org;5.38005230508271;43.2747079309565
Ecole Jean Mermoz;Ecoles maternelles;128 rue Jean Mermoz;;13008;Marseille;04 91 77 52 61;ecole.mat.mermoz@cime.org;5.38676466667217;43.2727555393929
Ecole Accates La Valentine;Ecoles maternelles;83 chemin vicinal des Accates;;13011;Marseille;04 91 43 02 90;ecole.accatesvalentine@cime.org;5.49262286578585;43.3029290037381
Ecole Les Caillols;Ecoles maternelles;32 chemin des Campanules;;13012;Marseille;04 91 93 16 30;ecole.mat.lescaillols@cime.org;5.44756401279198;43.301048235858
Ecole Vincent Leblanc;Ecoles maternelles;36 rue Vincent Leblanc;;13002;Marseille;04 91 91 63 72;ecole.mat.vincentleblanc@cime.org;5.36799317567643;43.3056436175274
Ecole Montolieu;Ecoles maternelles;10 rue Montolieu;;13002;Marseille;04 91 56 24 04;ecole.mat.montolieu@cime.org;5.37293235078202;43.3033344091665
Ecole Moulins;Ecoles maternelles;1 rue des Muettes;;13002;Marseille;04 91 91 20 25;ecole.mat.moulins@cime.org;5.36788391026436;43.2981840156916
Ecole Paix;Ecoles maternelles;56 rue de la Paix Marcel Paul;;13006;Marseille;04 91 33 24 68;ecole.lapaix@cime.org;5.37316115437247;43.2911366713062
Ecole Peyssonnel;Ecoles maternelles;16 Rue Peyssonnel;;13003;Marseille;04 91 50 77 12;ecole.mat.peyssonnel@cime.org;5.37299640097393;43.3072346518204
Ecole Le Pharo;Ecoles maternelles;19 rue des Catalans;;13007;Marseille;04 91 52 08 49;ecole.mat.pharo@cime.org;5.35543588430658;43.2926627306146
Ecole Neuve Sainte Catherine;Ecoles maternelles;17 rue Neuve Ste Catherine;;13007;Marseille;04 91 54 08 30;ecole.mat.saintecatherine@cime.org;5.36964647596384;43.2921303483205
Ecole Dames;Ecoles maternelles;6 rue du Terras;;13002;Marseille;04 91 91 55 39;ecole.mat.dames@cime.org;5.37168051902774;43.301765907705
Ecole Butte Des Carmes;Ecoles maternelles;rue des Grands Carmes;ZAC Sainte Barbe;13002;Marseille;04 91 91 68 59;ecole.mat.buttedescarmes@cime.org;5.37275731923013;43.3009555198557
Ecole L'Eveche;Ecoles maternelles;41 rue de l' Eveche;;13002;Marseille;04 91 90 46 48;ecole.mat.eveche@cime.org;5.36648248998964;43.3003300374742
Ecole Fiolle Falque;Ecoles maternelles;69 bis rue du Dr Fiolle;;13006;Marseille;04 91 37 10 96;ecole.mat.falque@cime.org;5.38278674010019;43.284194680163
Ecole Roucas Blanc;Ecoles maternelles;44 chemin du Roucas Blanc;;13007;Marseille;04 91 52 69 26;ecole.mat.roucas@cime.org;5.36633011027009;43.2866836017341
Ecole Prado Plage;Ecoles maternelles;122 rue du Commandant Rolland;;13008;Marseille;04 91 77 37 99;ecole.mat.pradoplage@cime.org;5.37869491183805;43.2695211625173
Ecole La Roseraie;Ecoles maternelles;11a rue Pierre Mouren;;13007;Marseille;04 91 52 72 33;ecole.mat.roseraie@cime.org;5.35229976440057;43.2831386120753
Ecole Blancarde;Ecoles maternelles;74 rue Beau;;13012;Marseille;04 91 49 37 82;ecole.mat.blancarde@cime.org;5.41092465691633;43.3009935040127
Ecole Chave;Ecoles maternelles;193 Boulevard Chave;;13005;Marseille;04 91 47 49 93;ecole.mat.chave@cime.org;5.39865971917033;43.2963206420408
Ecole La Loubiere;Ecoles maternelles;99 rue de la Loubiere;;13005;Marseille;04 91 42 75 03;ecole.mat.loubiere@cime.org;5.39204799707396;43.2896020694552
Ecole Saint Pierre;Ecoles maternelles;45 rue Pascal Ruinat;;13005;Marseille;04 91 47 92 37;ecole.mat.saintpierre@cime.org;5.40851543299723;43.2939560124615
Ecole Baille;Ecoles maternelles;250 bld Baille;;13005;Marseille;04 91 78 42 19;ecole.mat.baille@cime.org;5.39824452462594;43.289642300896
Ecole Saint Barnabe;Ecoles maternelles;4 rue Fontainieu;;13012;Marseille;04 91 49 69 88;ecole.mat.saintbarnabe@cime.org;5.41500954137319;43.3049667106576
Ecole Bastide Saint Jean;Ecoles maternelles;11 rue de la Boiseraie;;13012;Marseille;04 91 34 75 50;ecole.mat.bastidesaintjean@cime.org;5.42174363012151;43.2982034908863
Ecole Fraissinet;Ecoles maternelles;2 allee Fraissinet;;13005;Marseille;04 91 48 12 06;ecole.mat.fraissinet@cime.org;5.39879696376598;43.2921245931226
Ecole Haiti;Ecoles maternelles;Avenue d'Haiti - Saint Barnabe;;13012;Marseille;04 91 34 21 31;ecole.mat.haiti@cime.org;5.41485046518783;43.2981704069796
Ecole La Fourragere;Ecoles maternelles;70 avenue de la Fourragere;;13012;Marseille;04 91 93 58 58;ecole.mat.fourragere@cime.org;5.42822322966952;43.3004699291664
Ecole Sainte Sophie;Ecoles maternelles;2 Rue Sainte Sophie;;13004;Marseille;04 91 49 18 15;ecole.mat.saintesophie@cime.org;5.40283483507234;43.3062492326132
